thr,fpr,recall,precision,f1
0.0005121387,0.0,0.01,1.0,0.019801980198019802
0.0011399402643216079,0.0,0.19,1.0,0.319327731092437
0.0017677418286432159,0.01,0.32,0.9696969696969697,0.48120300751879697
0.002395543392964824,0.1,0.42,0.8076923076923077,0.5526315789473685
0.003023344957286432,0.12,0.47,0.7966101694915254,0.5911949685534592
0.00365114652160804,0.2,0.5,0.7142857142857143,0.588235294117647
0.004278948085929648,0.28,0.56,0.6666666666666666,0.6086956521739131
0.004906749650251257,0.29,0.59,0.6704545454545454,0.6276595744680851
0.005534551214572864,0.31,0.61,0.6630434782608695,0.6354166666666666
0.006162352778894472,0.34,0.62,0.6458333333333334,0.6326530612244898
0.00679015434321608,0.35,0.63,0.6428571428571429,0.6363636363636364
0.007417955907537689,0.35,0.66,0.6534653465346535,0.6567164179104478
0.008045757471859295,0.35,0.68,0.6601941747572816,0.6699507389162562
0.008673559036180903,0.35,0.7,0.6666666666666666,0.6829268292682926
0.009301360600502512,0.35,0.71,0.6698113207547169,0.6893203883495145
0.00992916216482412,0.36,0.72,0.6666666666666666,0.6923076923076923
0.010556963729145727,0.36,0.73,0.6697247706422018,0.6985645933014354
0.011184765293467335,0.36,0.74,0.6727272727272727,0.7047619047619048
0.011812566857788942,0.39,0.74,0.6548672566371682,0.6948356807511737
0.012440368422110552,0.41,0.74,0.6434782608695652,0.6883720930232557
0.01306816998643216,0.44,0.78,0.639344262295082,0.7027027027027027
0.013695971550753767,0.48,0.78,0.6190476190476191,0.6902654867256637
0.014323773115075376,0.49,0.79,0.6171875,0.6929824561403509
0.014951574679396984,0.49,0.8,0.6201550387596899,0.6986899563318777
0.015579376243718591,0.49,0.82,0.6259541984732825,0.70995670995671
0.0162071778080402,0.49,0.82,0.6259541984732825,0.70995670995671
0.016834979372361808,0.51,0.84,0.6222222222222222,0.7148936170212766
0.017462780936683416,0.51,0.86,0.6277372262773723,0.7257383966244725
0.018090582501005027,0.51,0.87,0.6304347826086957,0.7310924369747899
0.018718384065326634,0.51,0.88,0.6330935251798561,0.7364016736401673
0.01934618562964824,0.51,0.88,0.6330935251798561,0.7364016736401673
0.01997398719396985,0.51,0.89,0.6357142857142857,0.7416666666666666
0.020601788758291457,0.51,0.89,0.6357142857142857,0.7416666666666666
0.021229590322613064,0.51,0.9,0.6382978723404256,0.7468879668049793
0.021857391886934672,0.54,0.91,0.6275862068965518,0.7428571428571429
0.02248519345125628,0.54,0.91,0.6275862068965518,0.7428571428571429
0.023112995015577887,0.54,0.91,0.6275862068965518,0.7428571428571429
0.023740796579899498,0.54,0.91,0.6275862068965518,0.7428571428571429
0.024368598144221106,0.54,0.91,0.6275862068965518,0.7428571428571429
0.024996399708542713,0.55,0.91,0.6232876712328768,0.7398373983739838
0.02562420127286432,0.55,0.91,0.6232876712328768,0.7398373983739838
0.026252002837185928,0.55,0.93,0.6283783783783784,0.75
0.026879804401507536,0.57,0.94,0.6225165562913907,0.7490039840637449
0.027507605965829143,0.57,0.94,0.6225165562913907,0.7490039840637449
